sma,lma,signals
,,
,,
,,
,,
100.63399999999999,,
99.69199999999998,,
99.01999999999998,,
97.51399999999998,,
97.60399999999998,,
97.13199999999998,,
96.68199999999999,,
95.678,,
95.422,,
95.33599999999998,,
95.74399999999999,,
96.16,,
96.17999999999999,,
99.17,,
102.02400000000002,,
105.64000000000001,99.7875,
109.09400000000001,100.40700000000001,
112.742,100.905,
113.018,101.28099999999998,
111.39000000000001,101.58849999999998,
108.322,101.70949999999998,
105.30799999999999,101.81099999999998,
102.96999999999998,101.89249999999997,
101.25399999999998,102.21599999999997,
100.84199999999997,102.39799999999998,
101.21399999999997,102.72999999999999,
102.34599999999998,103.22699999999998,
102.83999999999996,103.68299999999996,
103.37199999999996,104.20349999999999,
104.40199999999996,104.66449999999998,
105.17199999999995,105.08699999999996,
105.50799999999995,105.56399999999996,
106.42799999999993,106.24499999999998,
107.09799999999991,106.18549999999998,
107.04999999999991,105.92099999999998,
107.92199999999988,105.65749999999998,
108.5359999999999,105.42449999999997,
108.83799999999992,105.26899999999996,
108.93199999999993,105.16399999999996,
108.69399999999993,105.24699999999996,
107.91599999999994,105.55599999999995,
107.42799999999993,105.95449999999997,
106.97599999999991,106.27049999999997,
107.17999999999991,106.64549999999997,
108.0119999999999,107.03949999999995,
108.9599999999999,107.49249999999995,
109.89399999999992,107.84149999999995,
110.63399999999993,108.21899999999997,
111.04199999999994,108.56299999999995,
111.43399999999994,108.79749999999994,
111.74999999999996,109.13699999999994,
111.82199999999993,109.41999999999993,
112.22799999999992,109.66899999999994,
112.67599999999993,109.95749999999994,
113.53399999999992,110.41849999999992,
114.02399999999993,110.66249999999991,
114.33599999999994,110.86999999999992,
114.93799999999996,111.19399999999992,
114.70999999999995,111.40199999999993,
113.92599999999996,111.72649999999992,
113.72799999999995,112.11549999999993,
113.63599999999994,112.42199999999991,
112.54999999999995,112.5874999999999,
111.83799999999997,112.5664999999999,
111.51599999999996,112.60249999999992,
110.87599999999995,112.59449999999993,
110.31599999999996,112.52749999999995,
110.11799999999997,112.45849999999993,
110.40999999999997,112.40849999999993,
110.74599999999995,112.43049999999994,
111.12799999999996,112.43899999999994,
111.64799999999994,112.48399999999995,
111.83199999999995,112.35949999999994,
111.76199999999994,112.17999999999992,
111.05599999999995,111.81099999999995,
110.34999999999995,111.52049999999994,
111.00799999999995,111.65199999999996,
112.41199999999995,111.72799999999995,
114.10599999999992,112.02899999999995,
115.83999999999992,112.28949999999995,
117.67399999999991,112.50699999999995,
117.88999999999992,112.71549999999995,
118.2719999999999,113.15849999999993,
118.4059999999999,113.67099999999994,
119.0199999999999,114.16549999999992,
119.3119999999999,114.61599999999991,
119.8059999999999,115.08799999999992,
119.86999999999989,115.59649999999992,
119.75599999999989,116.00749999999994,
119.12599999999989,116.26049999999994,
118.75199999999988,116.52199999999993,
118.05799999999991,116.69049999999993,
117.56599999999989,117.02999999999993,
117.02599999999991,117.32349999999992,
117.09599999999992,117.7704999999999,
117.14399999999992,118.2204999999999,
117.67599999999993,118.35749999999989,
118.08199999999992,118.4474999999999,
118.6499999999999,118.45949999999989,
118.8659999999999,118.5269999999999,
119.07399999999991,118.5704999999999,
