Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-04-04,114.07,114.55,111.61,112.55,48487913.0,0.0,1.0,114.07,114.55,111.61,112.55,48487913.0
2016-04-05,112.11,113.32,111.9,112.22,22962365.0,0.0,1.0,112.11,113.32,111.9,112.22,22962365.0
2016-04-06,112.47,113.81,112.42,113.71,20814640.0,0.0,1.0,112.47,113.81,112.42,113.71,20814640.0
2016-04-07,113.79,114.89,113.0663,113.64,20714537.0,0.0,1.0,113.79,114.89,113.0663,113.64,20714537.0
2016-04-08,114.25,114.33,109.9,110.63,48497808.0,0.0,1.0,114.25,114.33,109.9,110.63,48497808.0
2016-04-11,110.7,110.91,108.77,108.99,39762304.0,0.0,1.0,110.7,110.91,108.77,108.99,39762304.0
2016-04-12,109.34,111.1645,108.99,110.61,26248081.0,0.0,1.0,109.34,111.1645,108.99,110.61,26248081.0
2016-04-13,112.23,112.65,106.52,110.51,88227393.0,0.0,1.0,112.23,112.65,106.52,110.51,88227393.0
2016-04-14,110.62,112.04,110.26,110.84,28473322.0,0.0,1.0,110.62,112.04,110.26,110.84,28473322.0
2016-04-15,110.79,110.97,109.2,109.64,20922803.0,0.0,1.0,110.79,110.97,109.2,109.64,20922803.0
2016-04-18,109.74,110.81,109.2,110.45,21167199.0,0.0,1.0,109.74,110.81,109.2,110.45,21167199.0
2016-04-19,111.1,112.45,109.16,112.29,30210455.0,0.0,1.0,111.1,112.45,109.16,112.29,30210455.0
2016-04-20,112.43,113.27,111.56,112.42,21027901.0,0.0,1.0,112.43,113.27,111.56,112.42,21027901.0
2016-04-21,112.55,114.04,112.31,113.44,20875230.0,0.0,1.0,112.55,114.04,112.31,113.44,20875230.0
2016-04-22,111.21,111.75,109.01,110.56,38458201.0,0.0,1.0,111.21,111.75,109.01,110.56,38458201.0
2016-04-25,109.87,110.67,109.07,110.1,21017895.0,0.0,1.0,109.87,110.67,109.07,110.1,21017895.0
2016-04-26,110.49,110.5,108.15,108.76,22521534.0,0.0,1.0,110.49,110.5,108.15,108.76,22521534.0
2016-04-27,107.94,108.94,106.31,108.89,52213107.0,0.0,1.0,107.94,108.94,106.31,108.89,52213107.0
2016-04-28,119.575,120.79,116.23,116.73,87110080.0,0.0,1.0,119.575,120.79,116.23,116.73,87110080.0
2016-04-29,116.82,117.84,115.84,117.58,37140594.0,0.0,1.0,116.82,117.84,115.84,117.58,37140594.0
2016-05-02,117.83,118.73,116.57,118.57,28095168.0,0.0,1.0,117.83,118.73,116.57,118.57,28095168.0
2016-05-03,117.52,118.16,117.02,117.43,24117463.0,0.0,1.0,117.52,118.16,117.02,117.43,24117463.0
2016-05-04,116.61,118.3,116.57,118.06,23448440.0,0.0,1.0,116.61,118.3,116.57,118.06,23448440.0
2016-05-05,118.04,118.98,117.25,117.81,22056749.0,0.0,1.0,118.04,118.98,117.25,117.81,22056749.0
2016-05-06,117.16,119.637,117.1127,119.49,26395568.0,0.0,1.0,117.16,119.637,117.1127,119.49,26395568.0
2016-05-09,119.54,120.28,118.9,119.24,21138059.0,0.0,1.0,119.54,120.28,118.9,119.24,21138059.0
2016-05-10,119.62,120.5,114.8,120.5,23220046.0,0.0,1.0,119.62,120.5,114.8,120.5,23220046.0
2016-05-11,120.41,121.08,119.42,119.52,22038396.0,0.0,1.0,120.41,121.08,119.42,119.52,22038396.0
2016-05-12,119.98,120.84,118.9,120.28,22035465.0,0.0,1.0,119.98,120.84,118.9,120.28,22035465.0
2016-05-13,120.38,120.64,119.68,119.81,18124286.0,0.0,1.0,120.38,120.64,119.68,119.81,18124286.0
2016-05-16,119.38,119.61,117.35,118.67,31247834.0,0.0,1.0,119.38,119.61,117.35,118.67,31247834.0
2016-05-17,118.82,119.01,117.2,117.35,21328648.0,0.0,1.0,118.82,119.01,117.2,117.35,21328648.0
2016-05-18,116.8,118.27,116.73,117.65,21642299.0,0.0,1.0,116.8,118.27,116.73,117.65,21642299.0
2016-05-19,117.05,117.49,115.88,116.81,20544109.0,0.0,1.0,117.05,117.49,115.88,116.81,20544109.0
2016-05-20,116.96,117.99,116.95,117.35,18944831.0,0.0,1.0,116.96,117.99,116.95,117.35,18944831.0
2016-05-23,117.42,117.6,115.94,115.97,20441004.0,0.0,1.0,117.42,117.6,115.94,115.97,20441004.0
2016-05-24,116.24,117.73,116.12,117.7,20183627.0,0.0,1.0,116.24,117.73,116.12,117.7,20183627.0
2016-05-25,118.13,118.665,117.38,117.89,20035494.0,0.0,1.0,118.13,118.665,117.38,117.89,20035494.0
2016-05-26,118.24,119.7601,117.92,119.47,18481340.0,0.0,1.0,118.24,119.7601,117.92,119.47,18481340.0
2016-05-27,119.56,119.85,119.01,119.38,13493563.0,0.0,1.0,119.56,119.85,119.01,119.38,13493563.0
2016-05-31,119.46,120.1,118.121,118.81,23547597.0,0.0,1.0,119.46,120.1,118.121,118.81,23547597.0
2016-06-01,118.5,119.08,117.82,118.78,15029494.0,0.0,1.0,118.5,119.08,117.82,118.78,15029494.0
2016-06-02,118.69,135.6,118.22,118.93,13228310.0,0.0,1.0,118.69,135.6,118.22,118.93,13228310.0
